5.00	Colorado Governor Visits School Shooting Victim	Colorado governor visits school shooting victim
0.40	Iran ups oil swap with eastern neighbors	Iran urges rapid release of diplomat
0.00	Turkey president appeals for calm	Texas house provisionally approves abortion law
2.80	North Korea test fires 30 missiles into the sea	N Korea 'fires 100 shells' into the sea
2.20	Man dies in Co Donegal house fire	Woman dies in Co Cork house fire
0.60	Doha gas blast kills 12, injures dozens	Syria missile kills 26, including 8 kids
4.80	Polar bear DNA 'may help fight obesity'	Polar bear study may boost fight against obesity
0.20	Polling stations open at Ukrainian presidential election	Nominations open for e.TV Ghana Most Influential Awards
2.60	India Ink: Image of the Day: April 21	India Ink: Image of the Day: May 2
4.80	'Fast &amp; Furious' star Paul Walker dies in car crash	Paul Walker dead: Fast and Furious star, 40, killed in car crash
5.00	Two French journalists killed in Mali	France confirms two French journalists killed in Mali
2.80	Air strike kills one man in Syria's Hama	US drone strike kills eleven in Pakistan
1.20	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike	Pakistani Taliban 'elect new chief', vow 'unprecedented' revenge
2.60	Turkish PM, president clash over reply to protests	Turkish president calls for calm amid nationwide protests
3.20	Gunmen kill nine tourists in Pakistan	Gunmen Attack Hotel In Remote Pakistani Province
4.60	Israel and Hamas to observe brief Gaza truce	Israel And Hamas 'Accept Temporary Truce'
0.40	China's troubled Xinjiang hit by more violence	China's online population rises to 618 mln
3.80	Relatives scuffle with police after China fire kills 120	Angry families demand answers after China plant fire kills 119
2.40	Iran rejects claim on chlorine bombs	Iran rejects MKO claim on nuclear site
3.80	India Minister's wife died 'unnatural death' after affair rumours	Minister's wife's death 'unnatural'
0.20	3 dead, 1 hurt in shooting at S Carolina oceanfront motel	4 dead, 30 injured in train collision near Moscow
1.00	Burial of Boston bombing suspect appears legal	'Ready to go home:' Last Boston bombing victim leaves the hospital
1.20	5 killed in S China road cave-in	02:41 156 killed in China earthquake
0.00	South Africa president: Mandela is improving	Afghan president delays signing US deal
0.60	World News Update, what you need to know	Labour's 50p tax rate: what you need to know
1.20	Syrian civil war in photos	Syrian civil war peace talks at risk from Iran invitation
4.40	Strong new quake hits shattered Pak region	6.8 quake in shattered Pakistan region
1.40	House blaze kills 7 in northern Pakistan	US drone strike kills 8 in NW Pakistan
1.00	Abdullah Widens Lead in Afghan Presidential Poll	Explosions heard near Afghan presidential palace
4.20	Imran blames rival for colleague murder	Pakistans Imran blames rival for killing party member
2.80	Bangladesh Honors Factory Victims	Retailers back Bangladesh factory safety pact
3.00	Man Who Set Himself on Fire on National Mall Has Died	Man Sets Himself on Fire on National Mall, Flown to Hospital
5.00	Japan defends dolphin hunt after US criticism	Japan defends dolphin hunts after criticism from US
1.40	Bomb blast rocks shopping mall in Nigeria, 12 killed	Bomb blasts before Indian opposition rally kill 4
3.40	Philippines typhoon death toll at 4,460: UN	Philippines typhoon death toll rises above 5,000
0.60	Police fire teargas on Venezuelan vote protesters	Chavez heir Maduro wins Venezuela's presidency
1.80	Wave of attacks kills at least 95 in Iraq	Suicide attack kills at least 12 in northern Iraq
3.40	Top Chinese political advisor meets Greek PM	Top Chinese political advisor meets Yemeni president
4.00	Palestinian diplomat injured in explosion in Prague	Palestinian ambassador injured in apartment blast
5.00	Ukraine leader pledges crisis talks	Ukraine Leader Pledges Crisis Talks
3.00	7 killed in attacks in Iraq	16 killed in series of attacks in Iraq
4.60	Floods in central Europe continue to create havoc	Europe floods continue to create havoc
1.20	US military presence in East Asia	NATO ups military presence amid Russian threat
5.00	US believes Syrian government used chemical weapons	US suspects Syria used chemical weapons
4.00	World powers and Iran to resume expert nuclear talks on Dec. 30	Iran nuclear experts, world powers to resume talks next week
1.40	Egypt's Muslim Brotherhood Refuses to Back Down	Egyptian court sentences Muslim Brotherhood leader to life in prison
2.20	At least 6 dead in Canada bus, train crash	At least 6 dead in Paris train crash
1.80	Chinese president meets Greek PM, calling for stronger partnership	Chinese president meets Indian vice president
5.00	AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance	AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion
0.00	Italian fugitive arrested in Dominican Republic	Australian icebreaker arrives in East Antarctica for new rescue bid
1.40	India, US to hold talks on China next week	Egypt to hold more talks with IMF on loan next week
4.00	FAA lifts ban on U.S. flights to Tel Aviv	FAA lifts ban on U.S. flights to Israel
4.80	Israel Carrying Out Ground Offensive In Gaza	Israel Launches Ground Offensive In Gaza
2.20	Luxembourg PM quits amid spying scandal	Luxembourg votes after spying row
3.80	Ehud Olmert, former Israeli prime minister, sentenced to six years in jail for corruption	Ehud Olmert sentenced to six years in Israel
3.80	Brahimi apologises to Syria over lack of peace progress	Mediator apologizes to Syrians for lack of peace progress
0.40	Egyptian protesters issue Morsi resignation ultimatum	Ukraine protesters battle police in new clashes
0.00	5 Things to Know About the Sochi Olympics	7 Things to Know About Ethanol
2.60	China stocks open lower on Wednesday	China's stocks close lower on Monday
3.40	US delays missile test as tensions rise	William Hague: US decision to halt missile test 'sensible'
5.00	Fire in Beijing kills 10	Fire in Beijing kills ten
4.60	World's oldest man dies at 116	Japan: World's Oldest Man Ever Dies Aged 116
3.80	India, China ink border pact; 8 other agreements	India, China ink agreement on trans-border rivers
0.40	3 dead, 4 missing in central China construction accident	One dead, 8 missing in Vietnam boat accident
3.40	Pakistanis vote in landmark election	Pakistan holds landmark election as 29 killed in attacks
5.00	Venezuela expels three U.S. diplomats	Venezuela Expels 3 U.S. Diplomats
5.00	Heavy smog hits north China city, flights cancelled	Heavy Smog Hits North China City, Flights Canceled
1.40	Russia claims to have foiled possible terror act	Russia says ballistic 'objects' fired in Mediterranean
0.40	3 Chinese tourists killed in Pakistan	Seven kidnappers killed in southern Nigeria
0.00	Sevens World Cup within Kenya’s reach	Clash of Styles in Court Opens Trial in Young Man’s Death
0.40	US, China fail to paper over cracks in ties	China: Relief in focus as hope for missing fades
2.60	Gunmen kill 10 foreign tourists in northern Pakistan	Islamic militants kill 9 foreign tourists, 1 Pakistani
3.40	Austrian found hoarding 56 stolen skulls in home museum	Stolen skulls found in home museum
5.00	Egypt Launches Offensive Against Sinai Militants	Egypt launches offensive against Sinai insurgents
4.00	Record-setting Southwest heat wave turns fatal	At least 1 dead, 40 hospitalized in Southwest heat wave
4.60	Detroit eligible for bankruptcy protection: U.S. judge	Detroit eligible for bankruptcy protection
0.40	Algeria president gets therapy after stroke: state media	Bulgarian president tries to break election stalemate
4.20	British Nobel-Winning Author Doris Lessing Dies	Nobel Prize winning author Doris Lessing dies
4.80	Israeli government authorises new settlements ahead of talks	Israel Approves New Settlement Homes Ahead of Peace Talks
1.40	World Cup live: France 0-0 Germany	World Cup live: Germany 0-0 Ghana
4.80	Tokyo to host 2020 Games	Tokyo wins race to host 2020 Olympic Games
1.60	Pakistani Taliban chief killed in US drone strike	Funeral for Pakistan Taliban chief 'set to take place'
3.60	Putin signs Crimea annexe treaty	09:32 Putin signs off Crimea annexation
1.80	FAA continues ban on US flights to Tel Aviv	FAA lifts ban on U.S. flights to Tel Aviv
4.40	France warns of extremists benefiting from Egypt violence	France fears extremists will benefit from Egypt violence
3.20	Chinese envoy rebuts Vietnamese, Philippine accusations over South China Sea	China's Xi tells Vietnam wants peace in South China Sea
2.80	Four more people arrested over Australia's largest illegal tobacco importation syndicate	Police target illegal tobacco syndicate
0.00	Yemen: Fighting in north kills over 120	Janet Yellen: Five things you might not know
0.40	Obama moves to fill Fed board, taps Fischer to be No. 2	Obama voices willingness to talk with GOP on budget
4.80	Pakistan's Musharraf charged over Bhutto murder	Pakistan's Musharraf Charged In Bhutto Death
1.60	Iran's president condemns use of chemical weapons in Syria	Probe alleged use of chemical weapons in Syria
0.40	A society fraying at the edges	Old TV alignments crack at the edges
5.00	UN Invites Iran to Syrian Peace Conference	UN: Iran Invited to Attend Syrian Peace Conference
0.00	Italy bus crash death toll rises	Starbucks clears college degree path for workers
4.20	Soccer Ref Punched by Player Dies	Police: Utah soccer referee punched by player dies
0.40	Angela Merkel headed for narrow win in German elections	Malawi's new president sworn in after disputed elections
5.00	British teenager killed in fall from Magaluf hotel	British teenager killed in Magaluf hotel fall
1.20	Israel detains 37 Palestinians as arrest operation continues	Israel criticizes Palestinian stance on settlers
1.20	Rebels kill 21 civilians in Syria Alawite village	Bomb kills 18 civilians in Afghanistan
5.00	World sends emergency relief to battered Philippines	Typhoon Haiyan: world sends relief to battered Philippines
1.20	Palestinian hunger striker, Israel reach deal	Palestinian activist detained in Israeli raid
4.80	Assad says Syria will comply with UN arms resolution	Syria's Assad vows to comply with U.N. resolution
4.60	South Korean President Sorry For Ferry Response	S. Korean president 'sorry' for ferry disaster
0.00	Food price hikes raise concerns in Iran	American Chris Horner wins Tour of Spain
2.00	Obama made last-minute decision on Syria approval	Obama mulls limited military action in Syria
